group,variable,value
created_at,55,2018-03-01 10:27:52.000000
statuses,55,23253
id,56,56
name,56,TollyStats
user_id,56,1352258850682880000
followers,56,16052
friends,56,48
verified,56,0
created_at,56,2021-01-21 14:17:06.000000
statuses,56,1090
id,57,57
name,57,ranting_ai
user_id,57,1566151898696130560
followers,57,0
friends,57,0
verified,57,0
created_at,57,2022-09-03 19:51:43.000000
statuses,57,413
id,58,58
name,58,BeyondPremiere
user_id,58,157043907
followers,58,314
friends,58,814
verified,58,0
created_at,58,2010-06-18 17:50:52.000000
statuses,58,12457
id,59,59
name,59,ShaneHubbard28
user_id,59,1498904402
followers,59,405
friends,59,259
verified,59,0
created_at,59,2013-06-10 17:46:44.000000
statuses,59,1799
id,60,60
name,60,vivek1252vkr
user_id,60,1518094729417682945
followers,60,73
friends,60,140
verified,60,0
created_at,60,2022-04-24 05:09:37.000000
statuses,60,3753
id,61,61
name,61,zeusjdo
user_id,61,1484373741349924877
followers,61,4
friends,61,17
verified,61,0
created_at,61,2022-01-21 03:54:22.000000
statuses,61,98
id,62,62
name,62,aravindhram
user_id,62,46402987
followers,62,206
friends,62,609
verified,62,0
created_at,62,2009-06-11 14:53:04.000000
statuses,62,10449
id,63,63
name,63,chinu_bhai
user_id,63,51171889
followers,63,337
friends,63,189
verified,63,0
created_at,63,2009-06-26 18:40:00.000000
statuses,63,17439
id,64,64
name,64,KingJayden981
user_id,64,1187150510001967110
followers,64,83
friends,64,238
verified,64,0
created_at,64,2019-10-23 23:35:38.000000
statuses,64,1326
id,65,65
name,65,mokshnigam_
user_id,65,1564663442426183680
followers,65,35
friends,65,64
verified,65,0
created_at,65,2022-08-30 17:17:36.000000
statuses,65,550
id,66,66
name,66,MrIppikodoku
user_id,66,839586899668922372
followers,66,174
friends,66,468
verified,66,0
created_at,66,2017-03-08 21:21:30.000000
statuses,66,26887
id,67,67
name,67,playyyball
user_id,67,78033543
followers,67,468
friends,67,921
verified,67,0
created_at,67,2009-09-28 14:55:13.000000
statuses,67,10401
id,68,68
name,68,The_Yzulf
user_id,68,593838053
followers,68,330
friends,68,412
verified,68,0
created_at,68,2012-05-29 16:23:31.000000
statuses,68,9484
id,69,69
name,69,JackNefarious
user_id,69,3090573899
followers,69,511
friends,69,1982
verified,69,0
created_at,69,2015-03-13 04:21:24.000000
statuses,69,38088
id,70,70
name,70,MJB_30
user_id,70,2547392351
followers,70,1338
friends,70,969
verified,70,0
created_at,70,2014-05-14 13:51:05.000000
statuses,70,104016
id,71,71
name,71,NightOwlGrrl
user_id,71,2924898505
followers,71,152
friends,71,264
verified,71,0
created_at,71,2014-12-10 00:34:43.000000
statuses,71,19917
id,72,72
name,72,YankeeJosh
user_id,72,32258349
followers,72,1035
friends,72,979
verified,72,0
created_at,72,2009-04-17 02:17:44.000000
statuses,72,230330
id,73,73
name,73,AhmadRehanKhan
user_id,73,374119756
followers,73,2210
friends,73,1416
verified,73,0
created_at,73,2011-09-15 18:58:17.000000
statuses,73,3309
id,74,74
name,74,pr_nvGarg
user_id,74,1489891855
followers,74,29
friends,74,93
verified,74,0
created_at,74,2013-06-07 08:33:35.000000
statuses,74,1196
id,75,75
name,75,jirahnicoletv
user_id,75,735322042535444480
followers,75,307
friends,75,57
verified,75,0
created_at,75,2016-05-25 04:10:11.000000
statuses,75,4134
id,76,76
name,76,IssaMerk
user_id,76,1238833518488281088
followers,76,28
friends,76,27
verified,76,0
created_at,76,2020-03-14 14:25:09.000000
statuses,76,1717
id,77,77
name,77,SAMTHEBESTEST_
user_id,77,1220046930236936192
followers,77,2343
friends,77,51
verified,77,0
created_at,77,2020-01-22 18:14:01.000000
statuses,77,31148
id,78,78
name,78,LeanguruHK
user_id,78,1419490266533277696
followers,78,123
friends,78,240
verified,78,0
created_at,78,2021-07-26 02:51:51.000000
statuses,78,8949
id,79,79
name,79,AGMEDIANEWS
user_id,79,1569621367
followers,79,9627
friends,79,54
verified,79,0
created_at,79,2013-07-05 03:15:48.000000
statuses,79,11527
id,80,80
name,80,BlogDrive
user_id,80,978044029
followers,80,28857
